기준년월,기초지자체,중분류,소비액(천원)
20220211,천안시 서북구,문화서비스,1674
20220211,천안시 서북구,식음료,273602
20220211,천안시 서북구,관광기념품,568
20220212,천안시 서북구,호텔,2602
20220212,천안시 서북구,기타숙박,18642
20220212,천안시 서북구,관광기념품,492
20220212,천안시 서북구,레저용품쇼핑,58871
20220212,천안시 서북구,대형쇼핑몰,361504
20220212,천안시 서북구,골프장,10040
20220212,천안시 서북구,기타레저,8506
20220212,천안시 서북구,문화서비스,4087
20220212,천안시 서북구,식음료,388606
20220213,천안시 서북구,호텔,1371
20220213,천안시 서북구,기타숙박,13160
20220213,천안시 서북구,레저용품쇼핑,61877
20220213,천안시 서북구,대형쇼핑몰,167870
20220213,천안시 서북구,골프장,10162
20220213,천안시 서북구,기타레저,5099
20220213,천안시 서북구,문화서비스,2462
20220213,천안시 서북구,식음료,279378
20220214,천안시 서북구,호텔,1085
20220214,천안시 서북구,기타숙박,16354
20220214,천안시 서북구,레저용품쇼핑,33832
20220214,천안시 서북구,대형쇼핑몰,185376
20220214,천안시 서북구,골프장,8046
20220214,천안시 서북구,기타레저,2073
20220214,천안시 서북구,문화서비스,1410
20220214,천안시 서북구,식음료,202056
20220214,천안시 서북구,관광기념품,204
20220215,천안시 서북구,호텔,605
20220215,천안시 서북구,기타숙박,11961
20220215,천안시 서북구,관광기념품,1007
20220215,천안시 서북구,레저용품쇼핑,19980
20220215,천안시 서북구,대형쇼핑몰,115670
20220215,천안시 서북구,골프장,6879
20220215,천안시 서북구,기타레저,2650
20220215,천안시 서북구,문화서비스,1528
20220215,천안시 서북구,식음료,220901
20220216,천안시 서북구,호텔,1067
20220216,천안시 서북구,기타숙박,14573
20220216,천안시 서북구,레저용품쇼핑,23975
20220216,천안시 서북구,대형쇼핑몰,148927
20220216,천안시 서북구,골프장,7274
20220216,천안시 서북구,기타레저,4196
20220216,천안시 서북구,문화서비스,1463
20220216,천안시 서북구,식음료,222718
20220216,천안시 서북구,관광기념품,242
20220217,천안시 서북구,기타숙박,13682
20220217,천안시 서북구,여행업,566
20220217,천안시 서북구,레저용품쇼핑,30441
20220217,천안시 서북구,대형쇼핑몰,128725
20220217,천안시 서북구,골프장,7014
20220217,천안시 서북구,기타레저,2400
20220217,천안시 서북구,문화서비스,1569
20220217,천안시 서북구,식음료,232431
20220217,천안시 서북구,관광기념품,175
20220218,천안시 서북구,호텔,2227
20220218,천안시 서북구,기타숙박,15213
20220218,천안시 서북구,레저용품쇼핑,36311
20220218,천안시 서북구,대형쇼핑몰,195072
20220218,천안시 서북구,골프장,5038
20220218,천안시 서북구,기타레저,3250
20220218,천안시 서북구,문화서비스,1494
20220218,천안시 서북구,식음료,274742
20220218,천안시 서북구,관광기념품,326
20220219,천안시 서북구,호텔,5621
20220219,천안시 서북구,기타숙박,22658
20220219,천안시 서북구,관광기념품,744
20220219,천안시 서북구,레저용품쇼핑,55093
20220219,천안시 서북구,대형쇼핑몰,397066
20220219,천안시 서북구,골프장,10179
20220219,천안시 서북구,기타레저,6405
20220219,천안시 서북구,문화서비스,3260
20220219,천안시 서북구,식음료,398714
20220220,천안시 서북구,호텔,1504
20220220,천안시 서북구,기타숙박,11734
20220220,천안시 서북구,레저용품쇼핑,47009
20220220,천안시 서북구,대형쇼핑몰,467996
20220220,천안시 서북구,골프장,10814
20220220,천안시 서북구,기타레저,4361
20220220,천안시 서북구,문화서비스,3012
20220220,천안시 서북구,식음료,285522
20220221,천안시 서북구,호텔,1391
20220221,천안시 서북구,기타숙박,16178
20220221,천안시 서북구,레저용품쇼핑,31677
20220221,천안시 서북구,대형쇼핑몰,169529
20220221,천안시 서북구,골프장,11015
20220221,천안시 서북구,기타레저,2402
20220221,천안시 서북구,문화서비스,1340
20220221,천안시 서북구,식음료,225934
20220221,천안시 서북구,관광기념품,151
20220222,천안시 서북구,호텔,1013
20220222,천안시 서북구,기타숙박,11784
20220222,천안시 서북구,레저용품쇼핑,28842
20220222,천안시 서북구,대형쇼핑몰,168386
20220222,천안시 서북구,골프장,5878
20220222,천안시 서북구,기타레저,2683
20220222,천안시 서북구,문화서비스,1528
20220222,천안시 서북구,식음료,246342
20220222,천안시 서북구,여행업,28
20220222,천안시 서북구,관광기념품,394
20220223,천안시 서북구,호텔,1019
20220223,천안시 서북구,기타숙박,14530
20220223,천안시 서북구,관광기념품,1248
20220223,천안시 서북구,레저용품쇼핑,23154
20220223,천안시 서북구,대형쇼핑몰,130150
20220223,천안시 서북구,골프장,8852
20220223,천안시 서북구,기타레저,2564
20220223,천안시 서북구,문화서비스,1938
20220223,천안시 서북구,식음료,255164
20220224,천안시 서북구,호텔,1593
20220224,천안시 서북구,기타숙박,14047
20220224,천안시 서북구,레저용품쇼핑,21538
20220224,천안시 서북구,대형쇼핑몰,164062
20220224,천안시 서북구,골프장,9090
20220224,천안시 서북구,기타레저,2918
20220224,천안시 서북구,문화서비스,3446
20220224,천안시 서북구,식음료,264063
20220224,천안시 서북구,관광기념품,148
20220225,천안시 서북구,호텔,2351
20220225,천안시 서북구,기타숙박,14355
20220225,천안시 서북구,레저용품쇼핑,35440
20220225,천안시 서북구,대형쇼핑몰,252664
20220225,천안시 서북구,골프장,5930
20220225,천안시 서북구,기타레저,3346
20220225,천안시 서북구,문화서비스,3230
20220225,천안시 서북구,식음료,297769
20220225,천안시 서북구,관광기념품,219
20220226,천안시 서북구,호텔,3770
20220226,천안시 서북구,기타숙박,18524
20220226,천안시 서북구,레저용품쇼핑,57771
20220226,천안시 서북구,대형쇼핑몰,417229
20220226,천안시 서북구,골프장,14070
20220226,천안시 서북구,기타레저,4613
20220226,천안시 서북구,문화서비스,3250
20220226,천안시 서북구,식음료,399137
