기준년월,기초지자체,방문자 구분,방문자 수
2022-01-31,천안시 서북구,외지인방문자(b),105791.0
2022-01-31,천안시 서북구,전체방문자(a+b+c),197756.0
2022-01-31,천안시 서북구,현지인방문자(a),91945.0
2022-02-01,천안시 동남구,외국인방문자(c),13.0
2022-02-01,천안시 동남구,외부방문자(b+c),135803.0
2022-02-01,천안시 동남구,외지인방문자(b),135790.0
2022-02-01,천안시 동남구,전체방문자(a+b+c),226666.0
2022-02-01,천안시 동남구,현지인방문자(a),90864.0
2022-02-01,천안시 서북구,외국인방문자(c),18.0
2022-02-01,천안시 서북구,외부방문자(b+c),100517.0
2022-02-01,천안시 서북구,외지인방문자(b),100499.0
2022-02-01,천안시 서북구,전체방문자(a+b+c),192196.0
2022-02-01,천안시 서북구,현지인방문자(a),91679.0
2022-02-02,천안시 동남구,외국인방문자(c),8.0
2022-02-02,천안시 동남구,외부방문자(b+c),104004.0
2022-02-02,천안시 동남구,외지인방문자(b),103996.0
2022-02-02,천안시 동남구,전체방문자(a+b+c),205931.0
2022-02-02,천안시 동남구,현지인방문자(a),101927.0
2022-02-02,천안시 서북구,외국인방문자(c),12.0
2022-02-02,천안시 서북구,외부방문자(b+c),73764.0
2022-02-02,천안시 서북구,외지인방문자(b),73752.0
2022-02-02,천안시 서북구,전체방문자(a+b+c),180105.0
2022-02-02,천안시 서북구,현지인방문자(a),106340.0
2022-02-03,천안시 동남구,외국인방문자(c),8.0
2022-02-03,천안시 동남구,외부방문자(b+c),82244.0
2022-02-03,천안시 동남구,외지인방문자(b),82236.0
2022-02-03,천안시 동남구,전체방문자(a+b+c),203323.0
2022-02-03,천안시 동남구,현지인방문자(a),121079.0
2022-02-03,천안시 서북구,외국인방문자(c),19.0
2022-02-03,천안시 서북구,외부방문자(b+c),68567.0
2022-02-03,천안시 서북구,외지인방문자(b),68548.0
2022-02-03,천안시 서북구,전체방문자(a+b+c),195522.0
2022-02-03,천안시 서북구,현지인방문자(a),126956.0
2022-02-04,천안시 동남구,외국인방문자(c),9.0
2022-02-04,천안시 동남구,외부방문자(b+c),84611.0
2022-02-04,천안시 동남구,외지인방문자(b),84602.0
2022-02-04,천안시 동남구,전체방문자(a+b+c),206638.0
2022-02-04,천안시 동남구,현지인방문자(a),122028.0
2022-02-04,천안시 서북구,외국인방문자(c),20.0
2022-02-04,천안시 서북구,외부방문자(b+c),76477.0
2022-02-04,천안시 서북구,외지인방문자(b),76458.0
2022-02-04,천안시 서북구,전체방문자(a+b+c),205039.0
2022-02-04,천안시 서북구,현지인방문자(a),128562.0
2022-02-05,천안시 동남구,외국인방문자(c),9.0
2022-02-05,천안시 동남구,외부방문자(b+c),95912.0
2022-02-05,천안시 동남구,외지인방문자(b),95904.0
2022-02-05,천안시 동남구,전체방문자(a+b+c),208462.0
2022-02-05,천안시 동남구,현지인방문자(a),112550.0
2022-02-05,천안시 서북구,외국인방문자(c),21.0
2022-02-05,천안시 서북구,외부방문자(b+c),86436.0
2022-02-05,천안시 서북구,외지인방문자(b),86415.0
2022-02-05,천안시 서북구,전체방문자(a+b+c),206657.0
2022-02-05,천안시 서북구,현지인방문자(a),120222.0
2022-02-06,천안시 동남구,외국인방문자(c),13.0
2022-02-06,천안시 동남구,외부방문자(b+c),87583.0
2022-02-06,천안시 동남구,외지인방문자(b),87570.0
2022-02-06,천안시 동남구,전체방문자(a+b+c),197095.0
2022-02-06,천안시 동남구,현지인방문자(a),109512.0
2022-02-06,천안시 서북구,외국인방문자(c),21.0
2022-02-06,천안시 서북구,외부방문자(b+c),73115.0
2022-02-06,천안시 서북구,외지인방문자(b),73094.0
2022-02-06,천안시 서북구,전체방문자(a+b+c),187922.0
2022-02-06,천안시 서북구,현지인방문자(a),114807.0
2022-02-07,천안시 동남구,외국인방문자(c),11.0
2022-02-07,천안시 동남구,외부방문자(b+c),79611.0
2022-02-07,천안시 동남구,외지인방문자(b),79600.0
2022-02-07,천안시 동남구,전체방문자(a+b+c),203872.0
2022-02-07,천안시 동남구,현지인방문자(a),124260.0
2022-02-07,천안시 서북구,외국인방문자(c),23.0
2022-02-07,천안시 서북구,외부방문자(b+c),71196.0
2022-02-07,천안시 서북구,외지인방문자(b),71172.0
2022-02-07,천안시 서북구,전체방문자(a+b+c),200766.0
2022-02-07,천안시 서북구,현지인방문자(a),129570.0
2022-02-08,천안시 동남구,외국인방문자(c),23.0
2022-02-08,천안시 동남구,외부방문자(b+c),83162.0
2022-02-08,천안시 동남구,외지인방문자(b),83139.0
2022-02-08,천안시 동남구,전체방문자(a+b+c),207685.0
2022-02-08,천안시 동남구,현지인방문자(a),124523.0
2022-02-08,천안시 서북구,외국인방문자(c),26.0
2022-02-08,천안시 서북구,외부방문자(b+c),76214.0
2022-02-08,천안시 서북구,외지인방문자(b),76188.0
2022-02-08,천안시 서북구,전체방문자(a+b+c),206260.0
2022-02-08,천안시 서북구,현지인방문자(a),130046.0
2022-02-09,천안시 동남구,외국인방문자(c),20.0
2022-02-09,천안시 동남구,외부방문자(b+c),84139.0
2022-02-09,천안시 동남구,외지인방문자(b),84119.0
2022-02-09,천안시 동남구,전체방문자(a+b+c),210174.0
2022-02-09,천안시 동남구,현지인방문자(a),126035.0
2022-02-09,천안시 서북구,외국인방문자(c),29.0
2022-02-09,천안시 서북구,외부방문자(b+c),78016.0
2022-02-09,천안시 서북구,외지인방문자(b),77987.0
2022-02-09,천안시 서북구,전체방문자(a+b+c),209420.0
2022-02-09,천안시 서북구,현지인방문자(a),131404.0
2022-02-10,천안시 동남구,외국인방문자(c),23.0
2022-02-10,천안시 동남구,외부방문자(b+c),86690.0
2022-02-10,천안시 동남구,외지인방문자(b),86667.0
2022-02-10,천안시 동남구,전체방문자(a+b+c),211329.0
2022-02-10,천안시 동남구,현지인방문자(a),124638.0
2022-02-10,천안시 서북구,외국인방문자(c),35.0
2022-02-10,천안시 서북구,외부방문자(b+c),81770.0
2022-02-10,천안시 서북구,외지인방문자(b),81736.0
2022-02-10,천안시 서북구,전체방문자(a+b+c),213927.0
2022-02-10,천안시 서북구,현지인방문자(a),132156.0
2022-02-11,천안시 동남구,외국인방문자(c),25.0
2022-02-11,천안시 동남구,외부방문자(b+c),93906.0
2022-02-11,천안시 동남구,외지인방문자(b),93880.0
2022-02-11,천안시 동남구,전체방문자(a+b+c),220242.0
2022-02-11,천안시 동남구,현지인방문자(a),126336.0
2022-02-11,천안시 서북구,외국인방문자(c),36.0
2022-02-11,천안시 서북구,외부방문자(b+c),88526.0
2022-02-11,천안시 서북구,외지인방문자(b),88490.0
2022-02-11,천안시 서북구,전체방문자(a+b+c),221771.0
2022-02-11,천안시 서북구,현지인방문자(a),133245.0
2022-02-12,천안시 동남구,외국인방문자(c),23.0
2022-02-12,천안시 동남구,외부방문자(b+c),117458.0
2022-02-12,천안시 동남구,외지인방문자(b),117436.0
2022-02-12,천안시 동남구,전체방문자(a+b+c),234348.0
2022-02-12,천안시 동남구,현지인방문자(a),116890.0
2022-02-12,천안시 서북구,외국인방문자(c),33.0
2022-02-12,천안시 서북구,외부방문자(b+c),105551.0
2022-02-12,천안시 서북구,외지인방문자(b),105518.0
2022-02-12,천안시 서북구,전체방문자(a+b+c),229098.0
2022-02-12,천안시 서북구,현지인방문자(a),123546.0
2022-02-13,천안시 동남구,외국인방문자(c),27.0
2022-02-13,천안시 동남구,외부방문자(b+c),103903.0
2022-02-13,천안시 동남구,외지인방문자(b),103876.0
2022-02-13,천안시 동남구,전체방문자(a+b+c),214801.0
2022-02-13,천안시 동남구,현지인방문자(a),110898.0
2022-02-13,천안시 서북구,외국인방문자(c),29.0
2022-02-13,천안시 서북구,외부방문자(b+c),79990.0
2022-02-13,천안시 서북구,외지인방문자(b),79961.0
2022-02-13,천안시 서북구,전체방문자(a+b+c),194083.0
2022-02-13,천안시 서북구,현지인방문자(a),114093.0
2022-02-14,천안시 동남구,외국인방문자(c),23.0
2022-02-14,천안시 동남구,외부방문자(b+c),87320.0
2022-02-14,천안시 동남구,외지인방문자(b),87297.0
2022-02-14,천안시 동남구,전체방문자(a+b+c),211112.0
2022-02-14,천안시 동남구,현지인방문자(a),123792.0
2022-02-14,천안시 서북구,외국인방문자(c),32.0
2022-02-14,천안시 서북구,외부방문자(b+c),80308.0
2022-02-14,천안시 서북구,외지인방문자(b),80276.0
2022-02-14,천안시 서북구,전체방문자(a+b+c),209675.0
2022-02-14,천안시 서북구,현지인방문자(a),129367.0
2022-02-15,천안시 동남구,외국인방문자(c),27.0
2022-02-15,천안시 동남구,외부방문자(b+c),84002.0
2022-02-15,천안시 동남구,외지인방문자(b),83976.0
2022-02-15,천안시 동남구,전체방문자(a+b+c),204770.0
2022-02-15,천안시 동남구,현지인방문자(a),120768.0
2022-02-15,천안시 서북구,외국인방문자(c),36.0
2022-02-15,천안시 서북구,외부방문자(b+c),80704.0
2022-02-15,천안시 서북구,외지인방문자(b),80668.0
2022-02-15,천안시 서북구,전체방문자(a+b+c),208545.0
2022-02-15,천안시 서북구,현지인방문자(a),127841.0
2022-02-16,천안시 동남구,외국인방문자(c),22.0
2022-02-16,천안시 동남구,외부방문자(b+c),84260.0
2022-02-16,천안시 동남구,외지인방문자(b),84238.0
2022-02-16,천안시 동남구,전체방문자(a+b+c),204789.0
2022-02-16,천안시 동남구,현지인방문자(a),120530.0
2022-02-16,천안시 서북구,외국인방문자(c),47.0
2022-02-16,천안시 서북구,외부방문자(b+c),78213.0
2022-02-16,천안시 서북구,외지인방문자(b),78166.0
