기준년월,기초지자체,중분류,소비액(천원)
20220201,천안시 동남구,대형쇼핑몰,30379
20220201,천안시 동남구,골프장,2056
20220201,천안시 동남구,기타레저,1120
20220201,천안시 동남구,문화서비스,3503
20220201,천안시 동남구,식음료,150667
20220202,천안시 동남구,호텔,295
20220202,천안시 동남구,콘도,8757
20220202,천안시 동남구,캠핑장/펜션,185
20220202,천안시 동남구,기타숙박,4194
20220202,천안시 동남구,레저용품쇼핑,10354
20220202,천안시 동남구,대형쇼핑몰,197286
20220202,천안시 동남구,관광유원시설,734
20220202,천안시 동남구,골프장,3718
20220202,천안시 동남구,기타레저,2407
20220202,천안시 동남구,문화서비스,3448
20220202,천안시 동남구,식음료,184962
20220203,천안시 동남구,콘도,4174
20220203,천안시 동남구,캠핑장/펜션,155
20220203,천안시 동남구,기타숙박,5457
20220203,천안시 동남구,레저용품쇼핑,8398
20220203,천안시 동남구,대형쇼핑몰,115288
20220203,천안시 동남구,관광유원시설,791
20220203,천안시 동남구,골프장,19137
20220203,천안시 동남구,기타레저,1258
20220203,천안시 동남구,문화서비스,1349
20220203,천안시 동남구,식음료,157399
20220204,천안시 동남구,호텔,270
20220204,천안시 동남구,콘도,3351
20220204,천안시 동남구,기타숙박,5791
20220204,천안시 동남구,관광기념품,675
20220204,천안시 동남구,레저용품쇼핑,6902
20220204,천안시 동남구,대형쇼핑몰,99374
20220204,천안시 동남구,관광유원시설,817
20220204,천안시 동남구,골프장,18578
20220204,천안시 동남구,기타레저,1103
20220204,천안시 동남구,문화서비스,1549
20220204,천안시 동남구,식음료,179812
20220205,천안시 동남구,호텔,245
20220205,천안시 동남구,콘도,8218
20220205,천안시 동남구,캠핑장/펜션,267
20220205,천안시 동남구,기타숙박,6779
20220205,천안시 동남구,관광기념품,413
20220205,천안시 동남구,레저용품쇼핑,21907
20220205,천안시 동남구,대형쇼핑몰,195687
20220205,천안시 동남구,관광유원시설,988
20220205,천안시 동남구,골프장,25823
20220205,천안시 동남구,기타레저,2141
20220205,천안시 동남구,문화서비스,2124
20220205,천안시 동남구,식음료,244479
20220206,천안시 동남구,콘도,6818
20220206,천안시 동남구,캠핑장/펜션,489
20220206,천안시 동남구,기타숙박,9841
20220206,천안시 동남구,관광기념품,202
20220206,천안시 동남구,레저용품쇼핑,15665
20220206,천안시 동남구,대형쇼핑몰,174375
20220206,천안시 동남구,관광유원시설,507
20220206,천안시 동남구,골프장,21066
20220206,천안시 동남구,기타레저,2198
20220206,천안시 동남구,문화서비스,2277
20220206,천안시 동남구,식음료,221283
20220207,천안시 동남구,호텔,370
20220207,천안시 동남구,콘도,2286
20220207,천안시 동남구,기타숙박,6588
20220207,천안시 동남구,레저용품쇼핑,8114
20220207,천안시 동남구,대형쇼핑몰,93554
20220207,천안시 동남구,관광유원시설,2689
20220207,천안시 동남구,골프장,13943
20220207,천안시 동남구,기타레저,1290
20220207,천안시 동남구,문화서비스,1279
20220207,천안시 동남구,식음료,145946
20220208,천안시 동남구,캠핑장/펜션,24
20220208,천안시 동남구,기타숙박,6656
20220208,천안시 동남구,레저용품쇼핑,14039
20220208,천안시 동남구,대형쇼핑몰,67387
20220208,천안시 동남구,관광유원시설,709
20220208,천안시 동남구,골프장,24156
20220208,천안시 동남구,기타레저,1069
20220208,천안시 동남구,문화서비스,1292
20220208,천안시 동남구,식음료,170542
20220209,천안시 동남구,콘도,1181
20220209,천안시 동남구,캠핑장/펜션,56
20220209,천안시 동남구,기타숙박,4935
20220209,천안시 동남구,레저용품쇼핑,6481
20220209,천안시 동남구,대형쇼핑몰,110237
20220209,천안시 동남구,관광유원시설,269
20220209,천안시 동남구,골프장,24689
20220209,천안시 동남구,기타레저,958
20220209,천안시 동남구,문화서비스,1353
20220209,천안시 동남구,식음료,170128
20220209,천안시 동남구,관광기념품,966
20220210,천안시 동남구,호텔,285
20220210,천안시 동남구,콘도,1132
20220210,천안시 동남구,기타숙박,5188
20220210,천안시 동남구,레저용품쇼핑,15016
20220210,천안시 동남구,대형쇼핑몰,85716
20220210,천안시 동남구,관광유원시설,2446
20220210,천안시 동남구,골프장,26294
20220210,천안시 동남구,기타레저,1895
20220210,천안시 동남구,문화서비스,942
20220210,천안시 동남구,식음료,187200
20220211,천안시 동남구,콘도,4898
20220211,천안시 동남구,캠핑장/펜션,276
20220211,천안시 동남구,기타숙박,5044
20220211,천안시 동남구,레저용품쇼핑,17060
20220211,천안시 동남구,대형쇼핑몰,144936
20220211,천안시 동남구,관광유원시설,1230
20220211,천안시 동남구,골프장,24154
20220211,천안시 동남구,기타레저,1157
20220211,천안시 동남구,문화서비스,1712
20220211,천안시 동남구,식음료,199279
20220212,천안시 동남구,호텔,300
20220212,천안시 동남구,콘도,8707
20220212,천안시 동남구,캠핑장/펜션,410
20220212,천안시 동남구,기타숙박,7588
20220212,천안시 동남구,관광기념품,710
20220212,천안시 동남구,레저용품쇼핑,24066
20220212,천안시 동남구,대형쇼핑몰,209131
20220212,천안시 동남구,관광유원시설,644
20220212,천안시 동남구,골프장,36166
