정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명,Coordinates,Within 1km
CAB285000569,청호포도마을아파트,36.88622874,127.20667823,2023-10-16,569.0,34010,충청남도 천안시,천안,"(36.88622874, 127.20667823)",No
CAB285000570,청호포도마을아파트,36.88660629,127.20661408,2023-10-16,570.0,34010,충청남도 천안시,천안,"(36.88660629, 127.20661408)",No
CAB285000571,오목리,36.88888627,127.20827241,2023-10-16,571.0,34010,충청남도 천안시,천안,"(36.88888627, 127.20827241)",No
CAB285000572,시장2리,36.90007294,127.2172124,2023-10-16,572.0,34010,충청남도 천안시,천안,"(36.90007294, 127.2172124)",No
CAB285000573,시장1리,36.8919548,127.2311236,2023-10-16,573.0,34010,충청남도 천안시,천안,"(36.8919548, 127.2311236)",No
CAB285000574,시장1리(도장골),36.8919502,127.2310675,2023-10-16,574.0,34010,충청남도 천안시,천안,"(36.8919502, 127.2310675)",No
CAB285000575,호당2리(당곡),36.89544463,127.23069741,2023-10-16,575.0,34010,충청남도 천안시,천안,"(36.89544463, 127.23069741)",No
CAB285000576,주성레이크빌아파트,36.91026048,127.25027867,2023-10-16,576.0,34010,충청남도 천안시,천안,"(36.91026048, 127.25027867)",No
CAB285000578,양대리(양대),36.89797632,127.26106241,2023-10-16,578.0,34010,충청남도 천안시,천안,"(36.89797632, 127.26106241)",No
CAB285000579,양대리,36.89566633,127.26286907,2023-10-16,579.0,34010,충청남도 천안시,천안,"(36.89566633, 127.26286907)",No
CAB285001621,코리아웨코스다㈜,36.8607477,127.1050776,2023-10-16,1621.0,34010,충청남도 천안시,천안,"(36.8607477, 127.1050776)",No
CAB285001622,청호4차아파트,36.87509909,127.138172,2023-10-16,1622.0,34010,충청남도 천안시,천안,"(36.87509909, 127.138172)",No
CAB285001624,자은가리,36.87907633,127.12427948,2023-10-16,1624.0,34010,충청남도 천안시,천안,"(36.87907633, 127.12427948)",No
CAB285001625,승천삼거리,36.76969604,127.20602299,2023-10-16,1625.0,34010,충청남도 천안시,천안,"(36.76969604, 127.20602299)",No
CAB285001627,대흥리,36.7355075,127.2375402,2023-10-16,1627.0,34010,충청남도 천안시,천안,"(36.7355075, 127.2375402)",No
CAB285001628,화성3리,36.75485819,127.26450556,2023-10-16,1628.0,34010,충청남도 천안시,천안,"(36.75485819, 127.26450556)",No
